SampleID,Group,Treatment,Vaccine,Challenge,PigID,Study_Day,Days_post_vaccination,Days_post_challenge,Sample_Type
1993_D_1_F,3,EVC,Enterisol,I4512i,1993,D_1,27,-1,Fecal
1995_D_1_F,2,MVC,Mock,I4512i,1995,D_1,27,-1,Fecal
2000_D_1_F,3,EVC,Enterisol,I4512i,2000,D_1,27,-1,Fecal
5374_D_1_F,1,MVMC,Mock,Mock,5374,D_1,27,-1,Fecal
5375_D_1_F,2,MVC,Mock,I4512i,5375,D_1,27,-1,Fecal
5377_D_1_F,1,MVMC,Mock,Mock,5377,D_1,27,-1,Fecal
5379_D_1_F,3,EVC,Enterisol,I4512i,5379,D_1,27,-1,Fecal
5381_D_1_F,2,MVC,Mock,I4512i,5381,D_1,27,-1,Fecal
5382_D_1_F,3,EVC,Enterisol,I4512i,5382,D_1,27,-1,Fecal
5393_D_1_F,2,MVC,Mock,I4512i,5393,D_1,27,-1,Fecal
5394_D_1_F,3,EVC,Enterisol,I4512i,5394,D_1,27,-1,Fecal
5396_D_1_F,3,EVC,Enterisol,I4512i,5396,D_1,27,-1,Fecal
5397_D_1_F,1,MVMC,Mock,Mock,5397,D_1,27,-1,Fecal
5400_D_1_F,1,MVMC,Mock,Mock,5400,D_1,27,-1,Fecal
5402_D_1_F,2,MVC,Mock,I4512i,5402,D_1,27,-1,Fecal
5404_D_1_F,1,MVMC,Mock,Mock,5404,D_1,27,-1,Fecal
5406_D_1_F,2,MVC,Mock,I4512i,5406,D_1,27,-1,Fecal
5407_D_1_F,3,EVC,Enterisol,I4512i,5407,D_1,27,-1,Fecal
5408_D_1_F,1,MVMC,Mock,Mock,5408,D_1,27,-1,Fecal
5409_D_1_F,2,MVC,Mock,I4512i,5409,D_1,27,-1,Fecal
5411_D_1_F,3,EVC,Enterisol,I4512i,5411,D_1,27,-1,Fecal
5413_D_1_F,1,MVMC,Mock,Mock,5413,D_1,27,-1,Fecal
5415_D_1_F,2,MVC,Mock,I4512i,5415,D_1,27,-1,Fecal
5416_D_1_F,3,EVC,Enterisol,I4512i,5416,D_1,27,-1,Fecal
5418_D_1_F,2,MVC,Mock,I4512i,5418,D_1,27,-1,Fecal
5420_D_1_F,3,EVC,Enterisol,I4512i,5420,D_1,27,-1,Fecal
5421_D_1_F,1,MVMC,Mock,Mock,5421,D_1,27,-1,Fecal
5425_D_1_F,1,MVMC,Mock,Mock,5425,D_1,27,-1,Fecal
6137_D_1_F,2,MVC,Mock,I4512i,6137,D_1,27,-1,Fecal
6140_D_1_F,2,MVC,Mock,I4512i,6140,D_1,27,-1,Fecal
6141_D_1_F,1,MVMC,Mock,Mock,6141,D_1,27,-1,Fecal
6142_D_1_F,3,EVC,Enterisol,I4512i,6142,D_1,27,-1,Fecal
81_D_1_F,3,EVC,Enterisol,I4512i,81,D_1,27,-1,Fecal
82_D_1_F,1,MVMC,Mock,Mock,82,D_1,27,-1,Fecal
83_D_1_F,2,MVC,Mock,I4512i,83,D_1,27,-1,Fecal
84_D_1_F,1,MVMC,Mock,Mock,84,D_1,27,-1,Fecal
88_D_1_F,1,MVMC,Mock,Mock,88,D_1,27,-1,Fecal
89_D_1_F,3,EVC,Enterisol,I4512i,89,D_1,27,-1,Fecal
90_D_1_F,2,MVC,Mock,I4512i,90,D_1,27,-1,Fecal
91_D_1_F,1,MVMC,Mock,Mock,91,D_1,27,-1,Fecal
92_D_1_F,3,EVC,Enterisol,I4512i,92,D_1,27,-1,Fecal
96_D_1_F,2,MVC,Mock,I4512i,96,D_1,27,-1,Fecal
98_D_1_F,1,MVMC,Mock,Mock,98,D_1,27,-1,Fecal
99_D_1_F,3,EVC,Enterisol,I4512i,99,D_1,27,-1,Fecal
1971_D2_F,1,MVMC,Mock,Mock,1971,D2,29,2,Fecal
1972_D2_F,2,MVC,Mock,I4512i,1972,D2,29,2,Fecal
