SampleID,Group,Treatment,Vaccine,Challenge,PigID,Study_Day,Days_post_vaccination,Days_post_challenge,Sample_Type
5420_D10_F,3,EVC,Enterisol,I4512i,5420,D10,37,10,Fecal
5421_D10_F,1,MVMC,Mock,Mock,5421,D10,37,10,Fecal
5425_D10_F,1,MVMC,Mock,Mock,5425,D10,37,10,Fecal
6140_D10_F,2,MVC,Mock,I4512i,6140,D10,37,10,Fecal
6141_D10_F,1,MVMC,Mock,Mock,6141,D10,37,10,Fecal
6142_D10_F,3,EVC,Enterisol,I4512i,6142,D10,37,10,Fecal
81_D10_F,3,EVC,Enterisol,I4512i,81,D10,37,10,Fecal
82_D10_F,1,MVMC,Mock,Mock,82,D10,37,10,Fecal
83_D10_F,2,MVC,Mock,I4512i,83,D10,37,10,Fecal
84_D10_F,1,MVMC,Mock,Mock,84,D10,37,10,Fecal
88_D10_F,1,MVMC,Mock,Mock,88,D10,37,10,Fecal
89_D10_F,3,EVC,Enterisol,I4512i,89,D10,37,10,Fecal
90_D10_F,2,MVC,Mock,I4512i,90,D10,37,10,Fecal
91_D10_F,1,MVMC,Mock,Mock,91,D10,37,10,Fecal
92_D10_F,3,EVC,Enterisol,I4512i,92,D10,37,10,Fecal
96_D10_F,2,MVC,Mock,I4512i,96,D10,37,10,Fecal
98_D10_F,1,MVMC,Mock,Mock,98,D10,37,10,Fecal
99_D10_F,3,EVC,Enterisol,I4512i,99,D10,37,10,Fecal
1971_D14_CC,1,MVMC,Mock,Mock,1971,D14,41,14,Cecal_contents
1971_D14_F,1,MVMC,Mock,Mock,1971,D14,41,14,Fecal
1972_D14_CC,2,MVC,Mock,I4512i,1972,D14,41,14,Cecal_contents
1972_D14_F,2,MVC,Mock,I4512i,1972,D14,41,14,Fecal
1973_D14_CC,3,EVC,Enterisol,I4512i,1973,D14,41,14,Cecal_contents
1973_D14_F,3,EVC,Enterisol,I4512i,1973,D14,41,14,Fecal
1975_D14_CC,2,MVC,Mock,I4512i,1975,D14,41,14,Cecal_contents
1975_D14_F,2,MVC,Mock,I4512i,1975,D14,41,14,Fecal
1977_D14_CC,3,EVC,Enterisol,I4512i,1977,D14,41,14,Cecal_contents
1977_D14_F,3,EVC,Enterisol,I4512i,1977,D14,41,14,Fecal
1978_D14_CC,2,MVC,Mock,I4512i,1978,D14,41,14,Cecal_contents
1978_D14_F,2,MVC,Mock,I4512i,1978,D14,41,14,Fecal
1979_D14_CC,1,MVMC,Mock,Mock,1979,D14,41,14,Cecal_contents
1979_D14_F,1,MVMC,Mock,Mock,1979,D14,41,14,Fecal
1980_D14_CC,3,EVC,Enterisol,I4512i,1980,D14,41,14,Cecal_contents
1980_D14_F,3,EVC,Enterisol,I4512i,1980,D14,41,14,Fecal
1981_D14_CC,1,MVMC,Mock,Mock,1981,D14,41,14,Cecal_contents
1981_D14_F,1,MVMC,Mock,Mock,1981,D14,41,14,Fecal
1984_D14_CC,3,EVC,Enterisol,I4512i,1984,D14,41,14,Cecal_contents
1984_D14_F,3,EVC,Enterisol,I4512i,1984,D14,41,14,Fecal
1986_D14_CC,2,MVC,Mock,I4512i,1986,D14,41,14,Cecal_contents
1986_D14_F,2,MVC,Mock,I4512i,1986,D14,41,14,Fecal
1988_D14_CC,1,MVMC,Mock,Mock,1988,D14,41,14,Cecal_contents
1988_D14_F,1,MVMC,Mock,Mock,1988,D14,41,14,Fecal
1989_D14_CC,2,MVC,Mock,I4512i,1989,D14,41,14,Cecal_contents
1989_D14_F,2,MVC,Mock,I4512i,1989,D14,41,14,Fecal
1990_D14_CC,3,EVC,Enterisol,I4512i,1990,D14,41,14,Cecal_contents
1990_D14_F,3,EVC,Enterisol,I4512i,1990,D14,41,14,Fecal
1991_D14_CC,1,MVMC,Mock,Mock,1991,D14,41,14,Cecal_contents
1991_D14_F,1,MVMC,Mock,Mock,1991,D14,41,14,Fecal
1993_D14_CC,3,EVC,Enterisol,I4512i,1993,D14,41,14,Cecal_contents
1993_D14_F,3,EVC,Enterisol,I4512i,1993,D14,41,14,Fecal
1995_D14_CC,2,MVC,Mock,I4512i,1995,D14,41,14,Cecal_contents
1995_D14_F,2,MVC,Mock,I4512i,1995,D14,41,14,Fecal
2000_D14_CC,3,EVC,Enterisol,I4512i,2000,D14,41,14,Cecal_contents
2000_D14_F,3,EVC,Enterisol,I4512i,2000,D14,41,14,Fecal
5374_D14_CC,1,MVMC,Mock,Mock,5374,D14,41,14,Cecal_contents
5374_D14_F,1,MVMC,Mock,Mock,5374,D14,41,14,Fecal
5375_D14_CC,2,MVC,Mock,I4512i,5375,D14,41,14,Cecal_contents
5375_D14_F,2,MVC,Mock,I4512i,5375,D14,41,14,Fecal
5377_D14_CC,1,MVMC,Mock,Mock,5377,D14,41,14,Cecal_contents
5377_D14_F,1,MVMC,Mock,Mock,5377,D14,41,14,Fecal
5379_D14_CC,3,EVC,Enterisol,I4512i,5379,D14,41,14,Cecal_contents
5379_D14_F,3,EVC,Enterisol,I4512i,5379,D14,41,14,Fecal
5381_D14_CC,2,MVC,Mock,I4512i,5381,D14,41,14,Cecal_contents
5381_D14_F,2,MVC,Mock,I4512i,5381,D14,41,14,Fecal
5382_D14_CC,3,EVC,Enterisol,I4512i,5382,D14,41,14,Cecal_contents
5382_D14_F,3,EVC,Enterisol,I4512i,5382,D14,41,14,Fecal
5393_D14_CC,2,MVC,Mock,I4512i,5393,D14,41,14,Cecal_contents
5393_D14_F,2,MVC,Mock,I4512i,5393,D14,41,14,Fecal
5394_D14_CC,3,EVC,Enterisol,I4512i,5394,D14,41,14,Cecal_contents
5394_D14_F,3,EVC,Enterisol,I4512i,5394,D14,41,14,Fecal
5396_D14_CC,3,EVC,Enterisol,I4512i,5396,D14,41,14,Cecal_contents
5396_D14_F,3,EVC,Enterisol,I4512i,5396,D14,41,14,Fecal
5397_D14_CC,1,MVMC,Mock,Mock,5397,D14,41,14,Cecal_contents
5397_D14_F,1,MVMC,Mock,Mock,5397,D14,41,14,Fecal
5400_D14_CC,1,MVMC,Mock,Mock,5400,D14,41,14,Cecal_contents
5400_D14_F,1,MVMC,Mock,Mock,5400,D14,41,14,Fecal
5402_D14_CC,2,MVC,Mock,I4512i,5402,D14,41,14,Cecal_contents
5402_D14_F,2,MVC,Mock,I4512i,5402,D14,41,14,Fecal
5404_D14_CC,1,MVMC,Mock,Mock,5404,D14,41,14,Cecal_contents
5404_D14_F,1,MVMC,Mock,Mock,5404,D14,41,14,Fecal
5406_D14_CC,2,MVC,Mock,I4512i,5406,D14,41,14,Cecal_contents
5406_D14_F,2,MVC,Mock,I4512i,5406,D14,41,14,Fecal
5407_D14_CC,3,EVC,Enterisol,I4512i,5407,D14,41,14,Cecal_contents
5407_D14_F,3,EVC,Enterisol,I4512i,5407,D14,41,14,Fecal
5408_D14_CC,1,MVMC,Mock,Mock,5408,D14,41,14,Cecal_contents
5408_D14_F,1,MVMC,Mock,Mock,5408,D14,41,14,Fecal
5409_D14_CC,2,MVC,Mock,I4512i,5409,D14,41,14,Cecal_contents
5409_D14_F,2,MVC,Mock,I4512i,5409,D14,41,14,Fecal
5411_D14_CC,3,EVC,Enterisol,I4512i,5411,D14,41,14,Cecal_contents
5411_D14_F,3,EVC,Enterisol,I4512i,5411,D14,41,14,Fecal
5413_D14_CC,1,MVMC,Mock,Mock,5413,D14,41,14,Cecal_contents
5413_D14_F,1,MVMC,Mock,Mock,5413,D14,41,14,Fecal
5415_D14_CC,2,MVC,Mock,I4512i,5415,D14,41,14,Cecal_contents
5415_D14_F,2,MVC,Mock,I4512i,5415,D14,41,14,Fecal
5416_D14_CC,3,EVC,Enterisol,I4512i,5416,D14,41,14,Cecal_contents
5416_D14_F,3,EVC,Enterisol,I4512i,5416,D14,41,14,Fecal
5418_D14_CC,2,MVC,Mock,I4512i,5418,D14,41,14,Cecal_contents
5418_D14_F,2,MVC,Mock,I4512i,5418,D14,41,14,Fecal
5420_D14_CC,3,EVC,Enterisol,I4512i,5420,D14,41,14,Cecal_contents
5420_D14_F,3,EVC,Enterisol,I4512i,5420,D14,41,14,Fecal
5421_D14_CC,1,MVMC,Mock,Mock,5421,D14,41,14,Cecal_contents
5421_D14_F,1,MVMC,Mock,Mock,5421,D14,41,14,Fecal
5425_D14_CC,1,MVMC,Mock,Mock,5425,D14,41,14,Cecal_contents
5425_D14_F,1,MVMC,Mock,Mock,5425,D14,41,14,Fecal
6140_D14_CC,2,MVC,Mock,I4512i,6140,D14,41,14,Cecal_contents
6140_D14_F,2,MVC,Mock,I4512i,6140,D14,41,14,Fecal
6141_D14_CC,1,MVMC,Mock,Mock,6141,D14,41,14,Cecal_contents
6141_D14_F,1,MVMC,Mock,Mock,6141,D14,41,14,Fecal
6142_D14_CC,3,EVC,Enterisol,I4512i,6142,D14,41,14,Cecal_contents
6142_D14_F,3,EVC,Enterisol,I4512i,6142,D14,41,14,Fecal
81_D14_CC,3,EVC,Enterisol,I4512i,81,D14,41,14,Cecal_contents
81_D14_F,3,EVC,Enterisol,I4512i,81,D14,41,14,Fecal
82_D14_CC,1,MVMC,Mock,Mock,82,D14,41,14,Cecal_contents
82_D14_F,1,MVMC,Mock,Mock,82,D14,41,14,Fecal
83_D14_CC,2,MVC,Mock,I4512i,83,D14,41,14,Cecal_contents
83_D14_F,2,MVC,Mock,I4512i,83,D14,41,14,Fecal
84_D14_CC,1,MVMC,Mock,Mock,84,D14,41,14,Cecal_contents
84_D14_F,1,MVMC,Mock,Mock,84,D14,41,14,Fecal
88_D14_CC,1,MVMC,Mock,Mock,88,D14,41,14,Cecal_contents
88_D14_F,1,MVMC,Mock,Mock,88,D14,41,14,Fecal
89_D14_CC,3,EVC,Enterisol,I4512i,89,D14,41,14,Cecal_contents
89_D14_F,3,EVC,Enterisol,I4512i,89,D14,41,14,Fecal
90_D14_CC,2,MVC,Mock,I4512i,90,D14,41,14,Cecal_contents
90_D14_F,2,MVC,Mock,I4512i,90,D14,41,14,Fecal
91_D14_CC,1,MVMC,Mock,Mock,91,D14,41,14,Cecal_contents
91_D14_F,1,MVMC,Mock,Mock,91,D14,41,14,Fecal
92_D14_CC,3,EVC,Enterisol,I4512i,92,D14,41,14,Cecal_contents
92_D14_F,3,EVC,Enterisol,I4512i,92,D14,41,14,Fecal
96_D14_CC,2,MVC,Mock,I4512i,96,D14,41,14,Cecal_contents
96_D14_F,2,MVC,Mock,I4512i,96,D14,41,14,Fecal
98_D14_CC,1,MVMC,Mock,Mock,98,D14,41,14,Cecal_contents
98_D14_F,1,MVMC,Mock,Mock,98,D14,41,14,Fecal
99_D14_CC,3,EVC,Enterisol,I4512i,99,D14,41,14,Cecal_contents
99_D14_F,3,EVC,Enterisol,I4512i,99,D14,41,14,Fecal
